id,name,pattern,keywords,sections,cta_placement,social_proof,hero_type,conversion_focus,best_for,notes
1,Hero-Centric,hero-centric,hero primary cta above fold clean,Hero → Features → Social Proof → Pricing → CTA,Above fold + end,Logos below hero,Full-screen visual,Single primary action,SaaS tools apps simple products,Strong visual hero drives immediate action
2,Problem-Agitate-Solve,PAS,problem agitate solve pain copywriting,Problem statement → Emotional pain → Solution reveal → Features → CTA,After solution reveal,Testimonials after solution,Text + illustration,Awareness building,Consulting services complex SaaS,Works for users who don't know they need you yet
3,Feature Showcase,feature-showcase,features comparison specs detail showcase,Hero → Feature 1 → Feature 2 → Feature 3 → Demo → Pricing → CTA,After each feature + end,Star ratings + logos,Product screenshot/video,Feature adoption,Complex products with multiple USPs,Assumes user interest - needs to inform
4,Social Proof First,social-proof-first,testimonials trust reviews customers first,Hero → Testimonials → Features → More Reviews → Pricing → CTA,After social proof,Leading testimonials wall,Customer photo hero,Trust building,Established brand with happy customers,Put your best proof front and center
5,Pricing First,pricing-first,pricing transparent costs upfront visible,Hero → Pricing Table → Features → Testimonials → FAQ → CTA,In pricing table,Testimonials below pricing,Headline + subtext,Decision making,Commodity product price-sensitive market,Transparent pricing builds trust in crowded markets
6,Video Hero,video-hero,video autoplay background cinematic,Video Background → Value Prop → Features → Proof → CTA,Floating overlay,Counter stats on video,Fullscreen autoplay,Emotional connection,Lifestyle brands travel restaurants,Video must be short <30s and silent
7,Comparison Table,comparison-table,vs comparison competitor advantage best,Hero → Competitor Table → Features → Proof → CTA,After comparison,Customer quotes,Side-by-side compare,Competitive positioning,Competitive market challenger brand,Only works if you clearly win the comparison
8,Storytelling,narrative-storytelling,story narrative brand journey emotion,Brand story → Problem → Journey → Solution → Impact → CTA,End of story,Case study embedded,Brand founder photo,Emotional loyalty,Brand-driven companies nonprofits,Long scroll format requires strong copywriting
9,Benefit-Led,benefit-led,benefits outcomes results roi value,Hero benefits → How it works → Proof → More benefits → CTA,After benefits + end,ROI stats + logos,Number/stat illustration,Outcome orientation,B2B enterprise ROI-driven,Focus on what users gain not features
10,Minimal/Sparse,minimal-sparse,minimal clean simple whitespace focused,Hero → 3 features → Simple CTA,Hero + end,None or minimal,Large typography,Focus and clarity,Premium tools minimalist brands,Confidence move - nothing to hide
11,Waitlist/Launch,waitlist-launch,launch coming soon waitlist email capture,Hero → Value teaser → Email capture → Social links,Email form in hero,Social follower count,Countdown timer,Email capture,Pre-launch products new features,Keep copy vague enough to intrigue
12,Free Trial Hook,free-trial,free trial no credit card risk-free cta,Hero + free trial → Features → Pricing → FAQ,Free trial CTA everywhere,Trial conversion stats,Product dashboard screenshot,Trial signup,SaaS self-serve freemium,Reduce friction with no CC required messaging
13,Founder-Led,founder-led,founder personal story trust authentic,Founder video/photo → Why I built this → Features → CTA,After founder story,Founder quotes + user testimonials,Founder face video,Trust and authenticity,Bootstrapped indie products,Authentic personal brand builds trust
14,Demo-First,demo-first,interactive demo product tour live try,Hero → Embedded demo/tour → Features → Pricing → CTA,During demo + end,Usage statistics,Interactive product,Product adoption,Complex B2B SaaS,Let product speak - reduce sales friction
15,Awards/Recognition,award-recognition,press logos awards featured media coverage,Press logos → Hero → Features → More awards → Pricing → CTA,After credibility section,Press coverage as proof,Headline with award badge,Credibility,Established product media coverage,Social proof from institutions vs individuals
16,ROI Calculator,roi-calculator,calculator roi savings numbers value proof,Hero → ROI Calculator → Features → Case studies → CTA,After ROI display,Customer results with numbers,Calculator visual,Value quantification,Enterprise B2B decision-driven,Interactive element increases engagement
17,Security/Trust First,security-trust,compliance security gdpr certifications trust,Trust badges → Hero → Security section → Features → CTA,After trust section,Compliance certifications,Shield/lock icon hero,Risk reduction,Fintech healthcare compliance,Lead with safety for risk-averse buyers
18,Community-Led,community-led,community users join members social,Community stats → Member wall → How to join → Events → CTA,Join section + end,Member testimonials and photos,Group/community visual,Community membership,Open source developer tools communities,Show the community is alive and valuable
19,Job Board Pattern,job-board,jobs hiring search filter quick find,Search hero → Job categories → Featured listings → Company logos,Search hero CTA,Company count + job count,Search bar hero,Job search action,Job boards recruitment platforms,Make search the hero element
20,E-commerce Product,product-ecommerce,product image gallery detail add cart,Product images → Details → Reviews → Related → Add to cart,Persistent add to cart,Star ratings review count,Product gallery hero,Purchase conversion,Single product landing DTC brands,Image quality is everything
21,Course/Education,course-education,curriculum learning outcomes students testimonials,Course hero → Curriculum → Instructor → Student results → Enroll,Enroll CTA + end,Student testimonials + completion rate,Instructor photo,Course enrollment,Online courses e-learning,Instructor credibility drives sales
22,Event Registration,event-reg,event date time location speaker agenda,Event details → Speakers → Agenda → Sponsors → Register,Registration form persistent,Speaker credentials,Event hero with date,Registration,Conferences webinars events,Create urgency with limited seats
23,App Download,app-download,mobile app store download ios android,Hero → Feature highlights → Screenshots → Store buttons,App store buttons in hero,App ratings,Phone mockup hero,App install,Mobile apps PWA products,App store ratings are powerful social proof
24,Nonprofit Fundraising,fundraising,donation cause impact story emotional,Impact story → How donations help → Donate CTA → Past impact,Donation widget persistent,Impact statistics,Cause photography,Donation,Charities nonprofits causes,Show tangible impact of donations
25,Real Estate Listing,real-estate,property listing photos map location price,Photos → Property details → Map → Agent → Contact,Contact form persistent,Agent credentials,Photo gallery hero,Lead generation,Real estate property listings,Virtual tours increase engagement dramatically
26,Restaurant/Menu,restaurant-menu,menu food photos hours reservation dining,Food hero → Menu preview → Location → Reserve,Reserve + order buttons,Press reviews,Food photography hero,Reservation or order,Restaurants food businesses,Food photography is the conversion driver
27,Consulting/Agency,consulting-agency,services expertise case studies contact,Hero → Services → Case studies → Team → Contact,Contact CTA + end,Client logos + case study ROI,Team photo or abstract,Lead generation,Consulting agencies professional services,Case study ROI is most powerful element
28,SaaS Enterprise,enterprise-saas,enterprise security compliance dedicated support,Enterprise hero → Features → Security → Integrations → Contact sales,Contact sales CTA,Enterprise client logos,Enterprise dashboard,Sales lead,Enterprise B2B large company sales,Need to address procurement and security concerns
29,Portfolio/Work,portfolio-work,portfolio projects work showcase case studies,Work grid → Project detail → Skills → Contact,Contact CTA + end,Client testimonials + logos,Project thumbnail grid,Work inquiry,Freelancers designers agencies,Let the work speak - minimal copy
30,Subscription Product,subscription,subscription plan monthly value bundle,Value hero → Plans → Compare → Guarantee → Subscribe,Pricing cards CTA,Subscriber count,Unboxing lifestyle,Subscription signup,Subscription boxes membership products,Money-back guarantee reduces risk perception
