id,name,keywords,description,effects,border_radius,shadows,colors,typography,best_for,avoid_for,css_hints
1,Glassmorphism,glassmorphism glass frosted blur translucent,Semi-transparent frosted glass panels with blur effects and subtle borders,backdrop-filter blur + transparency,12-20px,subtle diffuse shadows,light pastels on dark gradients,clean sans-serif medium weight,SaaS dashboards creative apps premium landing pages,data-heavy tables text-heavy content mobile performance,backdrop-filter:blur(12px) bg-white/10 border border-white/20
2,Claymorphism,claymorphism clay 3d puffy soft playful rounded,3D clay-like rounded elements with thick shadows and pastel colors,thick inner shadow + outer glow,24-40px,heavy colored shadows matching element hue,soft pastels bright fun colors,rounded friendly fonts,children apps gamification playful brand consumer apps,enterprise B2B data-heavy corporate,box-shadow:inset -4px -4px 8px rgba(0,0,0,0.15) + outset colored shadow
3,Minimalism,minimalism minimal clean simple white space,Clean spacious design with generous whitespace and purposeful elements,none to very subtle,4-8px,none or very subtle,monochrome or 1-2 accent colors,geometric or humanist sans-serif,portfolios documentation simple tools premium brands,apps needing high data density complex navigation,max-w-prose mx-auto generous padding single accent color
4,Brutalism,brutalism brutal raw bold contrast typography,Intentionally raw design with bold typography thick borders high contrast,none raw,0 or extreme,hard drop shadows offset,black white primary colors limited palette,strong bold headline fonts,creative agencies art portfolios experimental brands,healthcare fintech mobile apps e-commerce,border-2 border-black shadow-[4px_4px_0px_black] uppercase tracking-wide
5,Neumorphism,neumorphism soft UI emboss deboss subtle shadow,Soft 3D effect using background-matched light and dark shadows,dual inner/outer soft shadow,8-16px,light top-left and dark bottom-right shadows,monochromatic light gray or dark,medium weight rounded sans-serif,settings pages controls calculators personal finance,high-contrast accessibility data tables complex navigation,box-shadow:5px 5px 10px #bebebe -5px -5px 10px #ffffff
6,Bento Grid,bento grid asymmetric cards dashboard mosaic,Asymmetric grid of differently-sized cards creating visual rhythm,subtle border or shadow per card,8-16px,medium elevation per card,neutral with colorful accent cards,clean modern sans-serif,dashboards portfolios SaaS about pages feature showcases,mobile apps simple landing pages single-purpose tools,grid-cols with spanning cards gap-4 mix card sizes
7,Dark Mode,dark mode night theme low light dark background,Dark backgrounds with lighter foreground elements for low-light usage,glow effects optional neon accents,8-12px,glow-like shadows colored to accent,dark grays/blacks light text accent neon/vibrant,high-contrast readable fonts,developer tools analytics media entertainment,child-facing apps healthcare medical records,bg-gray-900 text-gray-100 border-gray-700 accent neon
8,Skeuomorphism,skeuomorphism realistic texture material physical,Design mimicking real-world textures and physical materials,gradients textures realistic shadows,varies realistic,realistic drop shadow,natural material-inspired colors,classic readable fonts,games vintage apps nostalgia music apps,SaaS modern dashboards mobile productivity,linear-gradient texture background realistic border-radius
9,Flat Design,flat design 2d no shadow simple icon,Clean 2D design with no shadows gradients or textures,none,0-4px,none,bold solid colors,geometric bold fonts,marketing sites icons education apps consumer apps,premium luxury brands data-heavy dashboards,no-shadow flat colors border-none clean illustration
10,Material Design,material design google elevation shadow motion,Google's design system with elevation layering motion and color,elevation shadow states,4px standard,elevation-based layered shadows,primary secondary surface system,Roboto or Material fonts,Android apps cross-platform enterprise consumer apps,iOS-specific purely editorial luxury,shadow-md ripple effects elevation scale
11,Metro/Fluent,metro fluent microsoft tiles clean typography,Microsoft's flat tile-based design with clean typography and bold colors,none or subtle,0-4px,minimal or none,bold accent on white/dark neutrals,Segoe or clean sans-serif,Windows apps productivity enterprise Microsoft ecosystem,creative gaming entertainment luxury,grid-tile bg-accent text-white flat borderless
12,Aurora,aurora gradient mesh colorful soft glow background,Colorful gradient mesh backgrounds with soft glowing orbs,gradient mesh blur orbs,12-24px,colored glow shadows,purple teal pink gradient mesh,modern clean sans-serif,AI tools tech startups SaaS landing pages creative,data tables text-heavy conservative brand,background: radial gradient meshes blur orbs pointer-events
13,Frosted Glass (Light),frosted glass light blur white background,Light frosted glass with white-tinted blur for light mode,backdrop-filter light blur,12-16px,light diffuse shadow,white/light with subtle color accents,clean readable sans-serif,finance apps dashboards light-mode premium,dark mode designs high blur performance mobile,backdrop-filter:blur(8px) bg-white/60 border border-white/40
14,Neon/Cyberpunk,neon cyberpunk glow dark electric futuristic,Dark backgrounds with vivid neon glows and cyberpunk aesthetics,neon glow text-shadow border-glow,4-8px,neon colored glow shadows,dark black + neon cyan magenta green,monospace or futuristic display fonts,gaming crypto dark entertainment tech products,healthcare education B2B enterprise,text-shadow neon-glow bg-black border-cyan-400 filter:drop-shadow
15,Swiss/International,swiss international typography grid structured,Classic typographic design rooted in grid Swiss modernism,none,0-4px,none,limited often B&W with one accent,strong headline + body contrast,editorial design agencies print-inspired brands high culture,gaming entertainment playful products,strict grid system strong typography contrast ratio
