id,name,industry,keywords,primary,secondary,accent,background,surface,text,text_secondary,border,success,error,warning,dark_primary,dark_background,dark_surface,dark_text,notes
1,Ocean SaaS Blue,SaaS,saas blue dashboard professional,#2563EB,#1E40AF,#38BDF8,#F8FAFC,#FFFFFF,#0F172A,#475569,#E2E8F0,#22C55E,#EF4444,#F59E0B,#60A5FA,#0F172A,#1E293B,#F1F5F9,Tailwind-compatible blue system
2,Midnight Navy SaaS,SaaS,saas navy dark professional,#1E3A5F,#0F2744,#3B82F6,#F0F4F8,#FFFFFF,#1A202C,#4A5568,#E2E8F0,#48BB78,#FC8181,#ECC94B,#60A5FA,#0A1628,#1A2332,#E2E8F0,Deep navy for professional SaaS
3,Emerald Fintech,Fintech,fintech green money banking finance,#059669,#047857,#10B981,#F0FDF4,#FFFFFF,#064E3B,#065F46,#D1FAE5,#16A34A,#DC2626,#D97706,#34D399,#022C22,#064E3B,#ECFDF5,Trust and growth for finance apps
4,Electric Blue Finance,Fintech,fintech blue bank payment digital,#1D4ED8,#1E40AF,#06B6D4,#EFF6FF,#FFFFFF,#1E3A5F,#1E40AF,#DBEAFE,#059669,#DC2626,#D97706,#93C5FD,#1E3A5F,#1E40AF,#EFF6FF,Modern digital banking palette
5,Clinical White Healthcare,Healthcare,healthcare medical clean white clinical,#0EA5E9,#0284C7,#38BDF8,#F0F9FF,#FFFFFF,#0C4A6E,#0369A1,#BAE6FD,#16A34A,#DC2626,#D97706,#7DD3FC,#082F49,#0C4A6E,#E0F2FE,Clean clinical hospital palette
6,Healing Green Healthcare,Healthcare,healthcare wellness healing green,#16A34A,#15803D,#4ADE80,#F0FDF4,#FFFFFF,#14532D,#166534,#BBF7D0,#16A34A,#DC2626,#CA8A04,#4ADE80,#052E16,#14532D,#DCFCE7,Healing and wellness focused
7,Blush Beauty,Beauty,beauty spa skincare cosmetic pink feminine,#EC4899,#DB2777,#F472B6,#FFF1F2,#FFFFFF,#831843,#9D174D,#FCE7F3,#16A34A,#EF4444,#F59E0B,#F9A8D4,#4C0519,#831843,#FDF2F8,Feminine beauty and skincare
8,Rose Gold Luxury Beauty,Beauty,beauty luxury rose gold premium skincare,#B76E79,#9D5A63,#F4B8C0,#FFF8F8,#FFFFFF,#4A1020,#6B2737,#FFDDE1,#16A34A,#EF4444,#F59E0B,#E8A2AC,#2D0A15,#4A1020,#FFF0F2,Premium rose gold beauty
9,Coral Travel,Travel,travel vacation coral sunset adventure,#F97316,#EA580C,#FB923C,#FFF7ED,#FFFFFF,#7C2D12,#9A3412,#FFEDD5,#16A34A,#EF4444,#EAB308,#FDBA74,#431407,#7C2D12,#FFF3E8,Vibrant travel and adventure
10,Teal Ocean Travel,Travel,travel sea ocean teal tropical,#0D9488,#0F766E,#2DD4BF,#F0FDFA,#FFFFFF,#134E4A,#115E59,#CCFBF1,#16A34A,#EF4444,#F59E0B,#5EEAD4,#042F2E,#134E4A,#F0FDFA,Tropical travel destination palette
11,Warm Food Orange,Food,food delivery restaurant warm orange appetite,#EA580C,#C2410C,#FB923C,#FFF7ED,#FFFFFF,#7C2D12,#9A3412,#FFEDD5,#16A34A,#EF4444,#F59E0B,#FB923C,#431407,#7C2D12,#FEF3C7,Appetizing warm food palette
12,Fresh Food Green,Food,food healthy organic fresh green natural,#16A34A,#15803D,#4ADE80,#F0FDF4,#FFFFFF,#14532D,#166534,#BBF7D0,#16A34A,#DC2626,#CA8A04,#4ADE80,#052E16,#14532D,#ECFDF5,Fresh and healthy food
13,Power Red Fitness,Fitness,fitness gym workout energy red power,#DC2626,#B91C1C,#F87171,#FFF5F5,#FFFFFF,#7F1D1D,#991B1B,#FEE2E2,#16A34A,#EF4444,#F59E0B,#EF4444,#450A0A,#7F1D1D,#FFF1F1,High energy fitness palette
14,Dark Fitness Black,Fitness,fitness gym dark black intense power,#1F2937,#111827,#F97316,#111827,#1F2937,#F9FAFB,#9CA3AF,#374151,#16A34A,#EF4444,#F59E0B,#F97316,#030712,#111827,#F9FAFB,Dark intense fitness
