id,name,heading_font,body_font,mono_font,heading_weight,body_weight,scale,line_height,letter_spacing,keywords,best_for,notes
1,Geist + Inter,Geist,Inter,JetBrains Mono,700,400,1.25,1.6,-0.02em,modern clean saas developer,SaaS dashboards developer tools,Vercel's default stack - pairs AI precision with humanist legibility
2,Playfair Display + Lato,Playfair Display,Lato,Courier New,700,400,1.333,1.7,0em,editorial elegant luxury serif,Luxury brands editorial blogs,High contrast serif/sans pairing - classic and sophisticated
3,Space Grotesk + DM Sans,Space Grotesk,DM Sans,Space Mono,700,400,1.25,1.6,-0.01em,geometric tech modern startup,Tech startups product pages,Geometric personality with soft readability
4,Sora + Nunito,Sora,Nunito,Fira Code,700,400,1.333,1.7,0em,friendly playful consumer,Consumer apps kids education,Rounded friendly combination for approachable products
5,Clash Display + Satoshi,Clash Display,Satoshi,JetBrains Mono,700,400,1.2,1.55,-0.03em,bold modern premium brand,Premium brands fashion,High-impact display with clean body text
6,Plus Jakarta Sans + Source Sans 3,Plus Jakarta Sans,Source Sans 3,Source Code Pro,600,400,1.25,1.65,-0.01em,professional versatile clean,Corporate SaaS enterprise,Versatile professional pairing for business products
7,Fraunces + Manrope,Fraunces,Manrope,JetBrains Mono,700,400,1.414,1.7,0em,editorial warm literary,Editorial blogs creative agencies,Optical size serif with modern geometric body
8,Cal Sans + Inter,Cal Sans,Inter,JetBrains Mono,700,400,1.25,1.6,-0.02em,saas modern product clean,SaaS products developer tools,CalSans gives friendly character to Inter's utility
9,Bricolage Grotesque + DM Sans,Bricolage Grotesque,DM Sans,Fira Code,700,400,1.25,1.6,-0.01em,expressive modern editorial,Creative SaaS editorial,Variable expressive heading with clean body
10,Cormorant Garamond + Jost,Cormorant Garamond,Jost,Courier New,600,400,1.414,1.75,0.01em,luxury editorial classic,Luxury beauty fashion editorial,Refined classical serif with modern geometric body
11,Neue Haas Grotesk + Neue Haas Text,Neue Haas Grotesk,Neue Haas Grotesk,Source Code Pro,600,400,1.25,1.6,-0.02em,swiss systematic typography,Swiss-inspired editorial design,Swiss typographic precision
12,Unbounded + Inter,Unbounded,Inter,JetBrains Mono,800,400,1.2,1.55,-0.03em,bold crypto web3 modern,Crypto NFT blockchain modern,Ultra-wide display for modern web3 aesthetic
13,Montserrat + Open Sans,Montserrat,Open Sans,Consolas,700,400,1.25,1.65,-0.01em,classic versatile professional,General purpose websites,Timeless professional pairing used widely
14,Raleway + Lato,Raleway,Lato,Courier New,700,400,1.333,1.7,0.02em,elegant light clean,Fashion beauty lifestyle,Light elegant heading with reliable body text
15,Oswald + Source Sans 3,Oswald,Source Sans 3,Source Code Pro,700,400,1.25,1.6,-0.01em,bold condensed strong,Sports news headlines impact,Condensed impact heading for strong content
16,Poppins + Nunito,Poppins,Nunito,Fira Code,600,400,1.25,1.7,0em,friendly rounded consumer,Consumer apps marketplaces,Very popular rounded combination
17,DM Serif Display + DM Sans,DM Serif Display,DM Sans,DM Mono,700,400,1.333,1.65,0em,refined modern contrast,Premium SaaS editorial,Beautiful contrast within the DM family
18,Instrument Serif + Instrument Sans,Instrument Serif,Instrument Sans,JetBrains Mono,400,400,1.333,1.7,0em,editorial modern minimal,Editorial design journalism,Instrument family pairing - editorial and refined
19,Libre Baskerville + Source Sans 3,Libre Baskerville,Source Sans 3,Source Code Pro,700,400,1.333,1.75,0.01em,classic readable academic,Documentation academic content,High readability classic pairing
20,Work Sans + Work Sans,Work Sans,Work Sans,Fira Mono,700,400,1.25,1.65,-0.01em,systematic clean minimal,Design tools documentation,Single font family used systematically
