id,product_keyword,style_match,color_match,typography_match,reason,anti_pattern
1,fintech,minimalism corporate,blue-navy Emerald Fintech,Plus Jakarta Sans + Source Sans 3,Finance requires trust and clarity; minimalism reduces cognitive load; blue/green signals growth and stability,claymorphism neon glassmorphism (too playful for money)
2,banking,corporate minimalism,blue-navy Online Banking,IBM Plex Sans + IBM Plex Serif,Banking needs institutional trust; clean systematic design; IBM Plex family reinforces precision and reliability,brutalism skeuomorphism (outdated or too casual)
3,crypto,dark glassmorphism neon,Crypto Dark Digital Crypto Blue,Space Grotesk + DM Sans,Crypto appeals to tech-savvy audience; dark glassmorphism creates cutting-edge feel; neon accents signal innovation,corporate flat design (too conservative for crypto culture)
4,healthcare,clean minimalism flat,Clinical White Healthcare Healing Green,Cabin + Lato,Healthcare demands trust sterility and legibility; clinical white palette; rounded humanist fonts reduce anxiety,brutalism neon cyberpunk dark mode (intimidating for patients)
5,medical,corporate minimalism,Clinical White Healthcare Pale Blue,IBM Plex Sans + Libre Baskerville,Medical platforms need authority and clarity; systematic typography; clean clinical palette builds confidence,playful claymorphism (inappropriate seriousness required)
6,beauty,glassmorphism pastel soft,Blush Beauty Rose Gold Luxury Pastel Glassmorphism,Cormorant Garamond + Jost,Beauty products are aspirational and sensory; soft glass panels feel luxurious; rose/pink palette signals femininity and luxury,brutalism dark industrial (off-brand for beauty)
7,spa,glassmorphism japandi,Spa Lavender Meditation Teal,Fraunces + Manrope,Spa needs calm relaxation and escape; japandi or glassmorphism creates peaceful elevation; muted palettes reduce anxiety,neon cyberpunk gaming (creates opposite of calm)
8,wellness,organic japandi,Wellness Sage Lavender Dream,Sora + Nunito,Wellness is holistic and gentle; organic natural shapes; sage green and lavender feel healing; rounded sans adds warmth,dark industrial brutalism (creates tension vs wellness)
9,fitness,brutalism dark-fitness,Power Red Fitness Dark Fitness Black,Bebas Neue + Lato,Fitness needs energy intensity motivation; dark bold design with red accents drives action; Bebas is high-impact,pastel minimalism japandi (too calm for gym/workout energy)
10,gym,dark brutalism,Dark Fitness Black Automotive Black Silver,Oswald + Source Sans 3,Gym culture values intensity toughness; dark palette with strong contrast; condensed Oswald heading communicates power,glassmorphism soft pastel feminine (wrong for hardcore fitness)
11,education,clean friendly,Education Purple Sunny Education Yellow,Poppins + Nunito,Learning benefits from friendly accessible design; purple conveys wisdom knowledge; rounded friendly fonts reduce intimidation,brutalism dark industrial (intimidating for learning)
12,kids education,claymorphism playful,Kids Playful Rainbow Sunny Education Yellow,Sora + Nunito,Children's products need joy safety engagement; clay style is tactile; rainbow colors stimulate; rounded fonts are approachable,dark mode corporate brutalism (inappropriate for children)
13,elearning,card-grid clean,Education Dark Education Purple,Poppins + Source Sans 3,E-learning needs structured hierarchy and focus; cards organize content; moderate density balances depth vs accessibility,excessive animation decorative elements (distract from learning)
14,saas dashboard,bento dark,Dark SaaS Pro Ocean SaaS Blue Clean White SaaS,Geist + Inter,SaaS dashboards need data density and efficiency; bento grid creates visual hierarchy; Inter/Geist optimized for screens,heavy skeuomorphism playful claymorphism (wrong for professional tools)
15,analytics,data-heavy dark,Analytics Slate Dark Admin,IBM Plex Sans + IBM Plex Mono,Analytics platforms need maximum information density; dark reduces eye strain for long sessions; mono for data values,decorative glassmorphism excessive blur (impairs data reading)
16,travel,image-hero editorial,Coral Travel Teal Ocean Travel Desert Sand,Sora + Nunito,Travel is aspirational and experiential; hero imagery drives inspiration; coral/teal evokes destinations; friendly type invites exploration,clinical corporate dark (kills travel aspiration and excitement)
17,hotel,luxury editorial,Luxury Black Gold Hotel luxury Champagne,Cormorant Garamond + Jost,Hotels are hospitality and aspiration; luxury palette with serif typography signals premium quality; editorial layout showcases imagery,brutalism playful claymorphism (wrong for premium hospitality)
18,restaurant,image-editorial warm,Restaurant Warm Warm Amber Food Blog Warm,Abril Fatface + Lato,Restaurants sell taste and experience visually; full-bleed food photography; warm amber palette stimulates appetite; editorial layout showcases dishes,clinical white corporate flat (removes appetite appeal)
19,food delivery,warm-friendly,Warm Food Orange Fresh Food Green,Poppins + Nunito,Food delivery needs fast familiar and appetizing; warm orange increases hunger; rounded friendly fonts reduce friction,cold corporate navy (suppresses appetite and warmth)
20,social media,dynamic dark-light,Social Purple Warm Sunset,Sora + Nunito,Social platforms need engagement and energy; vibrant colors drive interaction; approachable typography; mix of light content areas and expressive accents,corporate minimal B2B (doesn't communicate social excitement)
21,gaming,neon dark immersive,Gaming Neon Gaming Neon Green Cyber Pink,Bebas Neue + Open Sans,Gaming needs immersion excitement and tribalism; neon on dark creates atmosphere; bold display fonts signal power; high-saturation colors convey energy,clinical white corporate pastel (completely misses gaming culture)
