id,name,industry,keywords,pattern,layout,density,navigation,tone
1,SaaS Dashboard,Software,saas dashboard analytics metrics software,card-grid,sidebar-main,high,sidebar,professional
2,E-commerce Store,Retail,ecommerce shop product listing cart checkout,product-grid,header-main-footer,medium,top-nav,friendly
3,Portfolio Website,Creative,portfolio showcase work gallery designer,hero-scroll,single-column,low,sticky-top,creative
4,Blog Platform,Media,blog articles posts reading content media,article-list,header-content,medium,top-nav,editorial
5,Marketing Landing Page,Marketing,landing marketing conversion lead generation,hero-cta,full-width,low,minimal,persuasive
6,Mobile App Home,Mobile,mobile app home feed notifications,feed-cards,bottom-nav,high,bottom-tab,casual
7,Admin Panel,Enterprise,admin panel management backend system control,data-table,sidebar-main,high,sidebar,functional
8,Healthcare Portal,Healthcare,healthcare medical patient health records,clean-cards,sidebar-main,medium,sidebar,trustworthy
9,Fintech App,Finance,fintech finance banking investment money,data-rich,bottom-tab,high,bottom-tab,professional
10,EdTech Platform,Education,education learning courses students progress,course-grid,sidebar-main,medium,sidebar,encouraging
11,Travel Booking,Travel,travel booking flights hotels vacation tours,search-hero,header-main,medium,top-nav,adventurous
12,Food Delivery App,Food,food delivery restaurant order meals menu,restaurant-grid,bottom-tab,high,bottom-tab,appetizing
13,Social Media App,Social,social media feed posts comments likes shares,infinite-scroll,bottom-tab,high,bottom-tab,social
14,B2B Marketplace,Commerce,marketplace vendors products wholesale b2b,product-table,sidebar-main,high,sidebar,professional
15,CRM Platform,Business,crm customer relationship sales pipeline contacts,kanban-list,sidebar-main,high,sidebar,efficient
16,Analytics Dashboard,Data,analytics data visualization charts metrics reports,dashboard-grid,sidebar-main,high,sidebar,analytical
17,Documentation Site,Developer,documentation docs api reference guide technical,toc-content,sidebar-content,medium,sidebar,clear
18,Gaming Platform,Entertainment,gaming games leaderboard achievements play,immersive-hero,horizontal-scroll,high,bottom-tab,exciting
19,Beauty & Spa Booking,Beauty,beauty spa wellness massage skincare booking,image-hero,minimal-nav,low,top-nav,luxurious
20,Fitness Tracker,Health,fitness workout exercise gym tracker health,activity-cards,bottom-tab,medium,bottom-tab,motivating
21,Real Estate Platform,Property,real estate property listings homes apartments,image-grid,header-main,medium,top-nav,trustworthy
22,Legal Services,Legal,legal law attorney services contracts compliance,clean-list,sidebar-main,medium,sidebar,authoritative
23,Automotive Dealership,Automotive,automotive cars dealership vehicles inventory,image-carousel,header-main,medium,top-nav,prestigious
24,Streaming Platform,Media,streaming video movies shows entertainment,content-grid,minimal-nav,high,sidebar,immersive
25,News Platform,Media,news articles breaking headlines journalism,article-feed,header-main,high,top-nav,informative
26,Nonprofit Organization,Nonprofit,nonprofit charity donation volunteer cause impact,story-hero,header-main,low,top-nav,compassionate
27,Event Management,Events,events conference tickets booking schedule venue,event-cards,header-main,medium,top-nav,energetic
28,Restaurant Website,Food,restaurant menu dining reservations food chef,image-heavy,header-main,low,minimal,welcoming
29,Hotel Booking,Travel,hotel booking accommodation room rates travel,image-hero,header-main,medium,top-nav,luxurious
30,Job Board,Recruitment,job board career listings hiring recruitment,list-filter,header-main,high,top-nav,professional
31,Music Platform,Music,music streaming playlist songs artist album,dark-immersive,bottom-tab,high,bottom-tab,atmospheric
32,Video Platform,Media,video youtube upload creator content watch,thumbnail-grid,sidebar-main,high,sidebar,engaging
33,Crypto Exchange,Finance,crypto cryptocurrency blockchain trading exchange,data-dense,sidebar-main,high,sidebar,technical
34,AI Tool Dashboard,AI,artificial intelligence ai tool generator saas,minimal-clean,sidebar-main,medium,sidebar,futuristic
35,Document Scanner App,Productivity,scanner document ocr camera capture pdf,action-focused,bottom-tab,low,bottom-tab,utility
