id,category,rule,keywords,description,code_hint,anti_pattern,impact
1,Rendering,React.memo,memo rerender props optimization component,Wrap functional components in React.memo to prevent rerenders when props unchanged,export default React.memo(MyComponent),Wrapping every component in memo without profiling first - memo has overhead,High
2,Rendering,useMemo,usememo expensive calculation derived state,Memoize expensive computed values that don't need to recalculate on every render,const sorted = useMemo(() => items.sort(fn) [items]),Wrapping every value in useMemo - only use for genuinely expensive operations,High
3,Rendering,useCallback,usecallback function reference stable closure,Stabilize function references passed as props to memoized child components,const handler = useCallback(() => doThing(id) [id]),Using useCallback everywhere without memoized children - no benefit without memo,High
4,Code Splitting,React.lazy + Suspense,lazy suspense dynamic import bundle splitting,Split route components for smaller initial bundle with automatic code splitting,const Page = lazy(() => import('./Page')); wrap with Suspense + fallback,Importing all page components at top level loading all code upfront,Critical
5,Code Splitting,Next.js dynamic(),nextjs dynamic import ssr csr split,Next.js dynamic imports with optional SSR disable for client-only components,const Map = dynamic(() => import('./Map') { ssr: false }),Statically importing client-only libraries like Leaflet causing SSR errors,High
6,List Rendering,Key optimization,key list rendering reconciliation,Use stable unique IDs as list keys not array indexes for correct reconciliation,key={item.id} not key={index},Using array index as key in dynamic lists causing state bugs and poor performance,High
7,List Rendering,Virtualization,virtualize list rows virtual scroll performance,Use react-window or TanStack Virtual for lists with 50+ items,import { FixedSizeList } from 'react-window',Rendering 500+ DOM nodes directly causing jank and memory issues,Critical
8,State Management,State colocation,state colocation local component scope,Keep state as local as possible; only lift when needed by multiple components,Declare state in lowest common ancestor component only,Putting all state in root App component causing entire tree rerenders,High
9,State Management,Zustand/Jotai,zustand jotai state management store global,Use atomic state management that only rerenders subscribed components,const count = useAtom(countAtom) or useStore(state => state.count),Using Context for high-frequency state updates causing all consumers to rerender,High
10,State Management,useReducer,usereducer complex state logic dispatch action,Use useReducer for complex state transitions with multiple related values,const [state dispatch] = useReducer(reducer initialState),Using many useState calls for related state that changes together,Medium
11,Images,Next.js Image,nextjs image optimization webp lazy,Use next/image for automatic WebP conversion responsive images and lazy loading,<Image src={url} width={800} height={600} alt="" />,Using raw <img> tag losing all optimization benefits in Next.js,Critical
12,Images,Lazy loading,lazy loading images below fold html,Native lazy loading for images below the fold,<img src={url} loading="lazy" decoding="async" />,Loading all images eagerly including those far below the fold,High
13,Fonts,Next.js Font,nextjs font optimization swap loading,Use next/font for automatic font optimization zero layout shift,import { Inter } from 'next/font/google'; const inter = Inter({ subsets: ['latin'] }),Loading fonts from Google CDN without optimization causing FOIT,High
14,Caching,React Query/SWR,react query swr cache stale data fetching,Use SWR or TanStack Query for declarative data fetching with built-in caching,const { data } = useSWR('/api/user' fetcher) or useQuery({queryKey queryFn}),Manual fetch in useEffect without caching causing waterfall and redundant requests,High
15,Caching,Next.js fetch cache,nextjs server component cache revalidate,Use Next.js extended fetch with revalidate for ISR and cache control,fetch(url { next: { revalidate: 60 } }),Fetching same data on every request without any server-side caching,High
16,Caching,useDeferredValue,usedeferredvalue defer slow non-urgent update,Defer non-urgent UI updates so urgent updates get priority,const deferredQuery = useDeferredValue(query),Blocking high-priority renders with expensive filter/search operations,Medium
17,Performance,useTransition,usetransition concurrent rendering priority,Mark state updates as non-urgent with startTransition for concurrent rendering,const [isPending startTransition] = useTransition(); startTransition(() => setItems(filtered)),Treating all state updates as equal priority causing input lag,High
18,Performance,Server Components,server components nextjs rsc no js,Use React Server Components for data fetching - zero JS sent to client,async function Page() { const data = await fetchData(); return <Component data={data} /> },Fetching data in client components when it could be done in server components,Critical
19,Performance,Streaming SSR,streaming ssr suspense loading nextjs,Stream HTML with Suspense boundaries for faster perceived performance,Wrap lazy sections in <Suspense fallback={<Skeleton />}> in server components,Block entire page render waiting for all data before sending any HTML,High
20,Performance,Parallel data fetching,parallel fetch waterfall promise all,Fetch independent data in parallel not sequentially to avoid waterfall,await Promise.all([fetchUser() fetchPosts()]) instead of sequential await,await fetchUser(); await fetchPosts() - sequential requests double the wait time,High
21,Bundle,Tree shaking,tree shaking import bundle size,Use named imports not default imports from libraries for better tree shaking,import { format } from 'date-fns' not import dateFns from 'date-fns',Import entire library when you only need one function adding 100KB,High
22,Bundle,Bundle analysis,bundle analyzer webpack size check,Use @next/bundle-analyzer to identify large dependencies regularly,Add ANALYZE=true to next.config.js with bundle analyzer setup,Shipping large bundle without knowing what's inside it,High
23,Bundle,Dynamic icon imports,lucide icons import size tree shaking,Import only needed icons not entire icon library,import { Home Menu } from 'lucide-react',import * as Icons from 'lucide-react' loading 1000 icon SVGs,High
24,Forms,React Hook Form,react hook form performance uncontrolled,Use React Hook Form for uncontrolled inputs to avoid rerender on every keystroke,const { register handleSubmit } = useForm(); <input {...register('email')} />,Controlled inputs with useState for every field causing 100 rerenders per form,High
25,Forms,Zod validation,zod schema validation typescript,Use Zod for runtime schema validation with TypeScript inference,const schema = z.object({ email: z.string().email() }); schema.parse(data),Manual if-statement validation for every field with inconsistent error messages,Medium
