id,category,rule,keywords,description,code_example,platform,standard
1,Accessibility,accessibilityLabel,accessibility label voiceover talkback screen reader,Provide descriptive accessibility labels for all interactive elements without visible text,<TouchableOpacity accessibilityLabel="Close menu"><Icon /></TouchableOpacity>,React Native / iOS / Android,Apple HIG / MD
2,Accessibility,accessibilityHint,hint voiceover context help action,Provide accessibilityHint to describe what happens when user activates control,accessibilityHint="Double tap to open profile settings",React Native / iOS,Apple HIG
3,Accessibility,accessibilityRole,role button link header semantic,Set semantic accessibility role for custom components so screen readers announce correctly,accessibilityRole="button" or role="heading" level={1},React Native / Web,Apple HIG / WCAG
4,Accessibility,accessibilityState,state disabled selected checked expanded,Communicate current state of interactive elements to accessibility APIs,accessibilityState={{ disabled: true selected: isSelected }},React Native / iOS / Android,MD / Apple HIG
5,Touch Target,touch-target-44pt,touch target size minimum ios 44pt,All interactive elements must have minimum 44x44pt (iOS) or 48x48dp (Android) touch target,<TouchableOpacity style={{ minWidth: 44 minHeight: 44 }}> or use hitSlop,iOS / Android / React Native,Apple HIG
6,Touch Target,hitSlop,hitslop extended tap area small icon,Extend touch area beyond visual bounds for small icons using hitSlop,hitSlop={{ top: 10 bottom: 10 left: 10 right: 10 }} on TouchableOpacity,React Native / iOS,Apple HIG
7,Layout,safe-area,safe area inset notch dynamic island home indicator,Use safe area insets to prevent content from being hidden behind device chrome,import { useSafeAreaInsets } from 'react-native-safe-area-context'; const insets = useSafeAreaInsets(),React Native / iOS / Android,Apple HIG
8,Layout,keyboard-avoiding,keyboard avoiding view input scroll push,Handle keyboard appearance to prevent it from covering input fields,<KeyboardAvoidingView behavior={Platform.OS === 'ios' ? 'padding' : 'height'}>,React Native / iOS / Android,Apple HIG / MD
9,Layout,status-bar,status bar style theme light dark,Match status bar style to current screen background color,<StatusBar barStyle="dark-content" /> for light bg; "light-content" for dark bg,React Native / iOS / Android,Apple HIG / MD
10,Performance,FlatList optimization,flatlist performance keyextractor getitemlayout,Optimize FlatList with keyExtractor getItemLayout and windowSize for large lists,keyExtractor={(item) => item.id} getItemLayout={(data i) => ({length: 80 offset: 80*i index: i})},React Native,Performance
11,Performance,FlashList,flashlist shopify performance recycling,Use Shopify's FlashList instead of FlatList for significantly better scroll performance,import { FlashList } from '@shopify/flash-list'; estimatedItemSize={80},React Native,Performance
12,Performance,StyleSheet.create,stylesheet create static styles performance,Use StyleSheet.create for static styles to register with native layer for performance,const styles = StyleSheet.create({ container: { flex: 1 padding: 16 } }),React Native,Performance
13,Performance,Image caching,image expo cache progressive,Use expo-image for automatic caching WebP support and progressive loading,<Image source={{ uri: url }} contentFit="cover" cachePolicy="memory-disk" />,React Native / Expo,Performance
14,Performance,Reanimated,reanimated 2 animation native thread performance,Use React Native Reanimated v2+ for UI-thread animations without bridge overhead,const style = useAnimatedStyle(() => ({ opacity: withTiming(opacity.value) })),React Native,Performance
15,Navigation,react-navigation setup,react navigation stack tab drawer,Use React Navigation v6+ as the standard navigation library for React Native,<NavigationContainer><Stack.Navigator><Stack.Screen /></Stack.Navigator></NavigationContainer>,React Native,Best Practice
16,Navigation,gesture-handler,gesture handler native swipe back ios,Wrap app in GestureHandlerRootView for native gesture support including iOS swipe-back,<GestureHandlerRootView style={{ flex: 1 }}><App /></GestureHandlerRootView>,React Native / iOS,Best Practice
17,Navigation,deep linking,deep link url scheme universal link,Configure deep linking so screens are reachable from notifications and external URLs,linking={{ prefixes: ['myapp://'] screens: { Home: 'home' Profile: 'user/:id' } }},React Native / iOS / Android,Apple HIG / MD
18,Navigation,back-handler android,back handler android hardware button,Handle Android hardware back button explicitly for custom navigation behaviors,useFocusEffect(useCallback(() => { BackHandler.addEventListener('hardwareBackPress' onBack) },React Native / Android,MD
19,Forms,keyboard type,keyboard type email phone number url input,Use correct keyboard type to show appropriate keyboard for input content,keyboardType="email-address" or "numeric" or "phone-pad" or "url",React Native / iOS / Android,Apple HIG / MD
20,Forms,textContentType,text content type autofill ios password email,Set textContentType for iOS autofill and strong password suggestion,textContentType="emailAddress" or "newPassword" or "telephoneNumber",React Native / iOS,Apple HIG
21,Forms,autoCapitalize,autocapitalize none words sentences email,Set appropriate autoCapitalize to reduce user friction,autoCapitalize="none" for email/username; "words" for name fields,React Native / iOS / Android,Apple HIG
22,Forms,returnKeyType,return key next done go action,Set returnKeyType to match form flow and expected action,returnKeyType="next" for multi-field forms; "done" for last field; "go" for search,React Native / iOS,Apple HIG
23,Dark Mode,useColorScheme,color scheme dark light mode hook,Detect system color scheme and apply appropriate styles,const colorScheme = useColorScheme(); const isDark = colorScheme === 'dark',React Native / iOS / Android,Apple HIG / MD
24,Dark Mode,semantic colors,semantic color tokens dark light,Use semantic color tokens that automatically adapt to light/dark mode,const colors = { background: isDark ? '#0F0F0F' : '#FFFFFF' text: isDark ? '#FFFFFF' : '#111827' },React Native / iOS / Android,Apple HIG / MD
25,Gestures,pan gesture,pan gesture handler drag swipe custom,Use PanGestureHandler from react-native-gesture-handler for custom swipe interactions,<PanGestureHandler onGestureEvent={animatedHandler}><Animated.View style={animatedStyle} /></PanGestureHandler>,React Native,Best Practice
26,Gestures,long press,long press action contextual menu haptic,Implement long press for contextual actions with haptic feedback,<TouchableOpacity onLongPress={showContextMenu} delayLongPress={400}> + triggerHaptic(),React Native / iOS / Android,Apple HIG / MD
27,Typography,Dynamic Type,dynamic type font scaling ios accessibility,Support iOS Dynamic Type for user font size preferences,Do not hardcode pixel sizes; use scalable font sizes or allowFontScaling prop,React Native / iOS,Apple HIG
28,Typography,font scaling,allow font scaling text accessibility,Allow font scaling for accessibility; test at max accessibility font size,allowFontScaling={true} on all Text components; default is true; never set false,React Native / iOS,Apple HIG
