id,name,type,keywords,use_case,data_type,max_categories,library_react,library_mobile,accessibility_notes,anti_patterns
1,Line Chart,line,line trend time series continuous progress over time,Show trends over time continuous data,Time series numeric,Unlimited,Recharts/Chart.js,Victory Native/react-native-chart-kit,Provide text summary of trend direction; keyboard-navigate points,Connecting unrelated discrete data points; too many overlapping lines (max 4-5)
2,Bar Chart Vertical,bar-vertical,bar vertical comparison categories discrete,Compare values across categories,Categorical numeric,8-12,Recharts/Chart.js,Victory Native,Label bars with values; provide data table alternative,Too many bars; rotating x-axis labels on mobile
3,Bar Chart Horizontal,bar-horizontal,bar horizontal comparison long labels ranking,Compare with long category labels or ranking,Categorical numeric,15-20,Recharts/Chart.js,Victory Native,Better for mobile - no rotated labels,Using for time series data
4,Grouped Bar Chart,bar-grouped,grouped comparison multiple series side by side,Compare multiple series across categories,Multi-series categorical,4-6 groups x3,Recharts,Victory Native,Use patterns + color for series; legend required,Too many groups causing overcrowding
5,Stacked Bar Chart,bar-stacked,stacked proportion composition part whole,Show composition within each category,Part-of-whole categorical,4-6 stack items,Recharts,Victory Native,Include total and individual values in tooltip,Stacking many thin segments; using for precise comparison
6,Area Chart,area,area filled trend volume cumulative below line,Show volume or cumulative trend over time,Time series numeric,3-4 max,Recharts/Chart.js,Victory Native/react-native-chart-kit,Fill area reduces readability with many series; use patterns,Overlapping areas without transparency; too many series
7,Scatter Plot,scatter,scatter correlation relationship two variables points,Reveal correlation between two variables,Bivariate numeric,500 points,Recharts,Victory Native,Provide regression line or annotation; alt text for outliers,Overcrowding with 1000s of points; using for categorical
8,Bubble Chart,bubble,bubble three variables size dimension correlation,Show 3-dimensional relationships,Trivariate numeric,20-30 bubbles,Recharts,Victory Native,Size scale must be labeled; tooltip with all 3 values,Bubbles too small to tap on mobile; overlapping without opacity
9,Pie Chart,pie,pie proportion slice percentage part whole,Show proportions of a whole,Part-of-whole,5 max,Recharts/Chart.js,Victory Native,Include percentage labels; provide table alternative,More than 5 slices; using for comparison; 3D pie (always wrong)
10,Donut Chart,donut,donut proportion ring center metric kpi,Show proportions with center metric,Part-of-whole + KPI,5 max,Recharts/Chart.js,Victory Native/react-native-chart-kit,Center value must have clear label; slices need labels,Too many slices; using color alone to differentiate
11,Heatmap,heatmap,heatmap matrix density frequency calendar patterns,Show density or frequency in a matrix,Two-dimensional categorical,Unlimited grid,Recharts (custom),React Native SVG,Color scale legend required; colorblind-safe palette; text values in cells,Using red-green palette; cells too small to tap on mobile
12,Treemap,treemap,treemap hierarchy size proportion nested,Show hierarchical data with size proportions,Hierarchical numeric,50-100 cells,Recharts,React Native SVG,Labels only in larger cells; provide drill-down; alt table,No drill-down for deep hierarchies; tiny unreadable cells
13,Funnel Chart,funnel,funnel conversion stages drop-off pipeline sales,Show sequential stage conversion,Sequential numeric,4-8 stages,Recharts (custom)/Funnel chart,Victory Native,Label each stage with count and percentage,Unclear stage labels; missing drop-off percentages
14,Sankey Diagram,sankey,sankey flow connections nodes relationships network,Show flow and connections between nodes,Flow/network,15-20 nodes,Recharts Sankey,React Native SVG,High complexity - always provide data table; tooltip on each flow,Using for simple comparisons; too many crossing links
15,Radar/Spider Chart,radar,radar spider comparison multi-axis metrics attributes,Compare multiple attributes,Multi-dimensional,5-8 axes,Recharts,Victory Native,Label each axis clearly; don't use for precise comparison,Too many overlapping series; axes with different scales
16,Gauge/Dial Chart,gauge,gauge dial meter kpi single metric progress circular,Display single metric against a target,Single numeric with goal,1 metric,Custom/react-gauge,React Native SVG,Show numeric value prominently alongside gauge; clear min/max,Using for comparisons; no clear target or scale
17,Sparkline,sparkline,sparkline mini inline trend context table row,Inline mini trend chart within text or tables,Time series small,Unlimited,Recharts/react-sparklines,Victory Native (small),Include data range as text alternative; not for precise reading,Using sparklines as primary analysis chart; too small to interpret
