id,category,rule,priority,description,do,dont,platform,reference
1,Accessibility,color-contrast,CRITICAL,Minimum 4.5:1 contrast ratio for normal text; 3:1 for large text (18px+ or 14px+ bold),Use tools like WebAIM contrast checker; test in both light and dark modes,Use gray-on-gray or low-contrast decorative text for UI labels,Web/Mobile,WCAG 2.1 AA
2,Accessibility,focus-states,CRITICAL,Visible focus indicators on all interactive elements; 2-4px outline or custom style,Apply focus:ring-2 or custom focus visible styles; never remove outline without replacement,Remove outline with outline:none without providing custom alternative,Web,Apple HIG / WCAG
3,Accessibility,alt-text,CRITICAL,Descriptive alt text for all meaningful images; empty alt for decorative,Write alt text describing image purpose not just appearance; empty alt="" for decorations,Omit alt attributes or use filename as alt text,Web/Mobile,WCAG 2.1
4,Accessibility,aria-labels,CRITICAL,All interactive elements must have accessible names; icon-only buttons need aria-label,Add aria-label to icon buttons; use accessibilityLabel in React Native,Use tooltip as only accessible name; leave icon buttons unlabeled,Web/Mobile,WCAG / Apple HIG
5,Accessibility,keyboard-nav,CRITICAL,All functionality accessible by keyboard; tab order matches visual order,Test all features with keyboard only; ensure logical tab sequence,Create mouse-only interactions; skip focus management,Web,WCAG 2.1
6,Accessibility,heading-hierarchy,HIGH,Proper heading hierarchy h1 through h6 without skipping levels,Use one h1 per page; h2 for sections; h3 for subsections,Skip from h1 to h3; use headings for visual styling only,Web,WCAG 2.1
7,Accessibility,color-not-only,CRITICAL,Never convey information through color alone; add icon or text,Use checkmark + green for success; error icon + red for errors,Use red alone for errors; green alone for success,Web/Mobile,WCAG 2.1
8,Accessibility,skip-links,HIGH,Provide skip navigation link for keyboard users to jump to main content,Add hidden visible-on-focus skip link at top of page,Require keyboard users to tab through entire navigation every page,Web,WCAG 2.1
9,Accessibility,dynamic-type,HIGH,Support system font size scaling; test at 200% font size,Use relative units em/rem; test layouts with large text,Use fixed px for font sizes; truncate text as it grows,iOS/Android,Apple HIG / MD
10,Accessibility,reduced-motion,HIGH,Respect prefers-reduced-motion media query; disable or reduce animations,Wrap animations in @media (prefers-reduced-motion: no-preference) check,Play decorative animations ignoring user motion preferences,Web/Mobile,Apple HIG
11,Accessibility,voiceover-sr,HIGH,Ensure screen reader compatibility; logical reading order; descriptive labels,Test with VoiceOver (iOS) and TalkBack (Android); verify reading order,Rely on visual order alone; skip accessibility testing with actual screen reader,iOS/Android,Apple HIG
12,Accessibility,form-labels,CRITICAL,Every form input must have associated visible label using label element,Use label with for matching input id; use aria-labelledby for complex inputs,Use placeholder as only label; remove labels for visual reasons,Web/Mobile,WCAG 2.1
13,Touch Interaction,touch-target-size,CRITICAL,Minimum 44x44pt on iOS; 48x48dp on Android for all interactive elements,Extend hit area beyond visual bounds using padding or hitSlop,Create 20px icon buttons without extended tap area,iOS/Android/Mobile,Apple HIG / MD
14,Touch Interaction,touch-spacing,CRITICAL,Minimum 8px gap between interactive elements to prevent mis-taps,Add 8dp minimum margin between buttons and links,Stack tappable elements directly adjacent without gap,Mobile,Apple HIG / MD
15,Touch Interaction,hover-vs-tap,HIGH,Use tap/click as primary interaction; don't rely on hover-only for mobile,Design interactions that work without hover; hover is progressive enhancement,Show critical information only on hover with no tap equivalent,Web/Mobile,Apple HIG
16,Touch Interaction,loading-buttons,HIGH,Disable submit/action button during async operations; show loading indicator,Add disabled state and loading spinner during API calls; re-enable on complete,Allow multiple submissions by not disabling; no loading feedback,Web/Mobile,MD
17,Touch Interaction,tap-delay,MEDIUM,Eliminate 300ms tap delay on web for better responsiveness,Add touch-action:manipulation to remove browser tap delay,Leave default browser touch delay for tap-heavy interfaces,Web,Web Standards
