id,style,keywords,ai_prompt,css_keywords,mood,example_palette
1,Glassmorphism,glass frosted translucent blur premium,Frosted glass UI panel with translucent white surface backdrop blur 16px subtle white border gradient background purple teal dark modern,backdrop-filter blur transparency border-white/20 bg-white/10,Ethereal premium,dark gradient + white/10 panels
2,Claymorphism,clay 3d puffy soft rounded colorful,Soft 3D clay-like UI buttons with thick colored drop shadows pastel colors rounded corners playful tactile depth,clip-path rounded-3xl pastel colors thick colored shadow,Playful tactile,Pastel + thick shadow
3,Minimalism,minimal clean white space simple,Ultra minimal clean UI white background generous whitespace single blue accent sharp geometric no decoration,max-w no-shadow clean single-accent generous-padding,Focused calm,White + single accent
4,Brutalism,brutal raw bold contrast black,Brutalist web design thick black borders hard offset shadow bold uppercase typography raw unpolished intentional,border-2 border-black shadow-[4px_4px_0] uppercase font-black,Raw bold,Black white primary colors
5,Neumorphism,neumorphic soft 3d emboss shadow,Soft neumorphic UI card extruded from background dual soft shadow light gray palette debossed input,box-shadow inner outer dual gray bg-gray-100,Soft subtle,Light gray dual shadow
6,Dark Mode,dark night developer low-light,Dark mode UI dashboard deep gray-black background electric blue accent clean readable sans font subtle border,bg-gray-900 text-gray-100 border-gray-700 accent-blue,Technical powerful,#0F172A bg + blue accent
7,Bento Grid,bento asymmetric grid cards mosaic,Bento grid UI layout asymmetric cards different sizes colorful mosaic dashboard flat minimal modern,grid-cols spanning-cards gap-4 rounded-2xl,Organized dynamic,Cards on neutral bg
8,Glassmorphism Dark,glass dark frosted vivid background,Dark glassmorphism UI with vivid colorful gradient background translucent dark panels white text glow accents,dark-bg bg-white/5 backdrop-blur border-white/10,Mysterious premium,Dark + vibrant through glass
9,Cyberpunk Neon,neon glow cyberpunk dark electric,Cyberpunk dark UI neon cyan magenta glow effects dark background grid scanlines electric atmosphere,text-shadow neon-glow bg-black electric border,Electric edgy,Black + neon cyan magenta
10,Aurora,aurora mesh gradient colorful soft,Aurora gradient mesh background pastel purple teal pink soft glowing orb shapes glassmorphic card overlay,radial-gradient mesh blur-orbs pointer-events,Magical creative,Purple teal pink mesh
11,Swiss Typography,swiss editorial grid typography,Swiss International Typographic Style clean grid strict alignment black red white strong headline minimal,strict-grid red-accent contrast no-decoration,Systematic bold,Black white red accent
12,Luxury Premium,luxury premium gold elegant,Luxury editorial UI black background gold accents thin serif typography generous whitespace premium photography,gold-tint thin-border serif luxury-spacing,Exclusive refined,Black + gold accents
13,Retro 80s,retro vintage 80s warm nostalgic,80s retro design warm orange brown muted vintage colors noise texture grain overlay slab serif,sepia grain retro-font warm-colors noise-overlay,Nostalgic warm,Warm muted + grain
14,Synthwave,synthwave 80s purple neon grid,Synthwave retrowave UI dark purple navy background hot pink neon cyan horizontal grid lines sunset gradients,dark-purple neon-pink grid-bg sunset-gradient,Nostalgic electric,Dark purple + pink neon
15,Japandi,japandi minimal warm natural,Japandi minimal design warm natural materials beige sand cream muted greens negative space wabi-sabi,warm-neutral minimal natural-material organic,Calm centered,Beige sand muted sage
16,Material Design 3,material design google elevation,Google Material Design 3 dynamic color system rounded corners elevation shadows state layers colorful,shadow-md ripple rounded state-layer md-color,Clean trustworthy,MD3 dynamic color
17,Pastel Soft,pastel soft gentle feminine,Soft pastel design pale pink lavender mint gentle rounded cards light shadows feminine approachable,bg-pink-100 rounded-2xl soft-shadow pastel-light,Gentle delicate,Pink lavender mint
18,Flat Design,flat design 2d icon no shadow,Flat design 2D colorful icons bold solid colors no gradients no shadows geometric shapes clean,no-shadow flat-color border-none bold-icon,Clean bold,Bold solids no shadow
19,Glassmorphism Aurora,glass aurora gradient mesh,Aurora gradient mesh with glassmorphic panels white frosted glass cards colorful behind vibrant modern,aurora-bg backdrop-blur bg-white/10 gradient-mesh,Creative vibrant,Aurora + glass panels
20,Organic Blob,organic blob natural fluid,Organic design fluid blob shapes natural earth tones imperfect curves handcrafted warm texture,svg-blob clip-path organic earth-colors texture,Organic natural,Earth tones + blobs
21,Monochrome,monochrome single hue minimal,Monochromatic design single blue hue multiple tones clean hierarchy minimal systematic,single-hue scale bg-blue-50 to 900,Systematic focused,Single hue range
22,Dark Luxury Gold,dark luxury gold premium,Ultra-luxury dark design black background gold shimmer accents fine serif typography exclusive brand,bg-black gold-accent thin-serif luxury,Exclusive elite,Black + gold shimmer
23,Memphis 80s,memphis geometric pattern bold,Memphis design geometric shapes 80s bold pink yellow teal patterns hard colored shadows expressive,geometric-pattern bright-colors hard-shadow,Fun eclectic,Pink yellow teal + patterns
24,Isometric Illustration,isometric 3d flat illustration,Flat 3D isometric illustration hero section colorful building blocks perspective grid tech product,isometric-svg grid-perspective flat-3d,Playful technical,Flat illustration colors
25,Futuristic Tech,futuristic sci-fi geometric,Futuristic UI angular geometry electric blue dark background scanning lines precision technical AI,clip-path polygon electric-blue dark,Advanced precise,Dark + electric blue
26,Editorial Magazine,editorial magazine bold type,Editorial magazine layout bold large typography full-bleed photography text overlay column grid,display-font large-headline full-bleed column,Confident editorial,B&W + accent
27,Bauhaus Geometric,bauhaus geometric primary,Bauhaus German design primary colors red blue yellow black geometric shapes functional constructivist,primary-colors geometric constructivist grid,Structured functional,Red blue yellow black
28,Nordic Frost,nordic scandinavian clean cold,Nordic design clean cold blue white subtle gray minimal natural imagery spacious breathing room,cool-gray minimal natural-photo spacious,Clean serene,Ice blue + white
29,Wabi-Sabi,wabi sabi imperfect organic texture,Wabi-sabi imperfect natural beauty organic textures noise grain neutral tones ceramic-like surfaces,noise-texture organic-shapes earth-neutral grain,Imperfect natural,Warm neutral + grain
30,Dark Editorial,dark editorial cinematic magazine,Dark editorial design black background white typography strong contrast full-bleed photography cinematic,dark-bg white-type editorial contrast,Cinematic bold,Black + white type
