id,category,rule,keywords,description,code_hint,platform,anti_pattern
1,Lists,FlatList keyExtractor,flatlist keyextractor performance unique id,Provide stable unique keyExtractor to FlatList for efficient reconciliation and updates,keyExtractor={(item) => item.id.toString()},React Native,Using index as key or missing keyExtractor
2,Lists,FlatList getItemLayout,getitemlayout fixed height performance,Provide getItemLayout for fixed-height items to enable instant scroll-to-index and optimize rendering,getItemLayout={(data i) => ({ length: ITEM_HEIGHT offset: ITEM_HEIGHT * i index: i })},React Native,Omitting on long fixed-height lists losing significant scroll performance
3,Lists,FlashList over FlatList,flashlist shopify performance recycle,Use Shopify FlashList as drop-in FlatList replacement for dramatically better performance,import { FlashList } from '@shopify/flash-list'; estimatedItemSize={80},React Native,Using stock FlatList for lists over 100 items
4,Lists,FlatList windowSize,windowsize flatlist memory viewport,Tune windowSize to control how many screens of items are rendered beyond viewport,windowSize={5} for 2.5 screens above + below viewport,React Native,Default windowSize=21 rendering 10+ screens of items
5,Lists,initialNumToRender,initial render flatlist startup performance,Set initialNumToRender to only render visible items on initial mount,initialNumToRender={10} matching visible item count on screen,React Native,Default renders 10 items even if only 3 are visible
6,Lists,SectionList,sectionlist grouped sections headers sticky,Use SectionList for data with group headers; supports sticky section headers natively,<SectionList sections={groupedData} renderSectionHeader={({section}) => <Header />} />,React Native,Building custom section logic on top of FlatList
7,Lists,removeClippedSubviews,remove clipped subviews memory optimization,Enable removeClippedSubviews on Android for large lists to free memory for off-screen items,removeClippedSubviews={true} (Android only; may cause issues on iOS),React Native / Android,Enabling on iOS which can cause blank flash issues
8,Navigation,React Navigation v6,react navigation stack tab drawer v6,Use React Navigation v6 with native stack for best performance and platform-native feel,import { createNativeStackNavigator } from '@react-navigation/native-stack',React Native,Using deprecated NavigatorIOS or JavaScript-based navigation
9,Navigation,Native Stack,native stack navigator performance ios android,Use createNativeStackNavigator for fully native navigation transitions on both platforms,const Stack = createNativeStackNavigator(); Stack.Navigator with Stack.Screen,React Native / iOS / Android,Using regular Stack which is JS-based and less performant
10,Navigation,Gesture Handler Root,gesture handler root view swipe back,Wrap app root in GestureHandlerRootView to enable swipe-back and native gestures,<GestureHandlerRootView style={{ flex: 1 }}><NavigationContainer>,React Native,Missing GestureHandlerRootView causing gesture handler errors
11,Navigation,Deep Linking Config,deep link universal link url scheme,Configure deep linking for notifications sharing and external app links,linking={{ prefixes: ['https://myapp.com' 'myapp://'] screens: { ... } }},React Native / iOS / Android,No deep link support means push notifications can't open specific screens
